Namespace(alive_time=300, middlebox_name='Middlebox device')
Middlebox device
Middlebox device socket is created
Middlebox device socket is succesfully initialized and ready.
Middlebox device is listening...

Conneted with 127.0.0.1 : 56906
Conneted with 127.0.0.1 : 56907
     Receiving:   82 |         1557134497.216321 |  56907 |    NORMAL | Camera
     Receiving:   55 |         1557134500.706346 |  56918 |    NORMAL | Sensor
     Receiving:   10 |        1557134501.4254491 |  56906 |    NORMAL | Guard
     Receiving:   22 |        1557134501.8712738 |  56907 |    NORMAL | Camera
     Receiving:    6 |         1557134505.986705 |  56918 |    NORMAL | Sensor
Connection to 127.0.0.1 : 56918 is closed

     Receiving:   41 |        1557134507.0332718 |  56906 |    NORMAL | Guard
     Receiving:   65 |        1557134507.1856997 |  56907 |    NORMAL | Camera
Conneted with 127.0.0.1 : 56924
     Receiving:   22 |        1557134513.0365393 |  56907 |    NORMAL | Camera
     Receiving:   38 |        1557134513.8988533 |  56924 |    NORMAL | Sensor
     Receiving:   54 |        1557134514.2846541 |  56906 |    NORMAL | Guard
     Receiving:   48 |        1557134517.4338286 |  56907 |    NORMAL | Camera
     Receiving:   52 |        1557134519.2505755 |  56924 |    NORMAL | Sensor
     Receiving:   20 |        1557134520.5538435 |  56906 |    NORMAL | Guard
     Receiving:   99 |        1557134522.4529405 |  56907 |    NORMAL | Camera
     Receiving:   24 |        1557134523.8105412 |  56924 |    NORMAL | Sensor
     Receiving:   21 |         1557134526.696298 |  56907 |    NORMAL | Camera
     Receiving:   16 |         1557134527.255519 |  56906 |    NORMAL | Guard
     Receiving:   88 |        1557134528.5126202 |  56924 |    NORMAL | Sensor
     Receiving:    4 |        1557134531.9779649 |  56907 |    NORMAL | Camera
     Receiving:   78 |          1557134533.63205 |  56924 |    NORMAL | Sensor
     Receiving:   87 |        1557134533.8913562 |  56906 |    NORMAL | Guard
     Receiving:   54 |        1557134537.8456619 |  56907 |    NORMAL | Camera
     Receiving:   32 |         1557134539.913418 |  56906 |    NORMAL | Guard
     Receiving:   29 |         1557134542.170238 |  56907 |    NORMAL | Camera
     Receiving:   83 |         1557134543.884917 |  56906 |    NORMAL | Guard
     Receiving:   27 |         1557134547.153286 |  56907 |    NORMAL | Camera
     Receiving:   78 |        1557134548.4365845 |  56906 |    NORMAL | Guard
     Receiving:   52 |        1557134550.6157537 |  56907 |    NORMAL | Camera
     Receiving:   82 |        1557134552.5589478 |  56906 |    NORMAL | Guard
     Receiving:   26 |        1557134556.4284427 |  56907 |    NORMAL | Camera
     Receiving:   38 |        1557134557.9985538 |  56906 |    NORMAL | Guard
     Receiving:   91 |         1557134561.854841 |  56907 |    NORMAL | Camera
     Receiving:   47 |        1557134562.4470296 |  56906 |    NORMAL | Guard
     Receiving:   70 |        1557134563.6324382 |  56924 |    NORMAL | Sensor
       Warning: Detecting suspicious physcial access attack!!!
     Receiving:   37 |        1557134567.2509985 |  56906 |    NORMAL | Guard
     Receiving:   93 |        1557134567.4952922 |  56907 |    NORMAL | Camera
     Receiving:    6 |        1557134567.6458578 |  56924 |    NORMAL | Sensor
     Receiving:   53 |        1557134569.5358543 |  56906 |    NORMAL | Guard
     Receiving:   37 |        1557134572.9802074 |  56924 |    NORMAL | Sensor
     Receiving:   34 |        1557134573.7551422 |  56907 |    NORMAL | Camera
     Receiving:   86 |        1557134573.9396503 |  56906 |    NORMAL | Guard
     Receiving:   39 |         1557134577.465597 |  56907 |    NORMAL | Camera
     Receiving:   87 |         1557134577.894418 |  56924 |    NORMAL | Sensor
     Receiving:   30 |        1557134579.2254858 |  56906 |    NORMAL | Guard
     Receiving:    6 |         1557134582.075545 |  56907 |    NORMAL | Camera
     Receiving:   58 |        1557134584.3026154 |  56924 |    NORMAL | Sensor
Connection to 127.0.0.1 : 56924 is closed

     Receiving:   63 |        1557134585.0949917 |  56906 |    NORMAL | Guard
     Receiving:   34 |        1557134586.7050574 |  56907 |    NORMAL | Camera
Conneted with 127.0.0.1 : 56925
     Receiving:    5 |        1557134590.3121028 |  56906 |    NORMAL | Guard
     Receiving:   58 |        1557134592.5689907 |  56907 |    NORMAL | Camera
     Receiving:    4 |        1557134593.1205149 |  56925 |    NORMAL | Sensor
     Receiving:   70 |        1557134594.5600448 |  56906 |    NORMAL | Guard
     Receiving:   60 |         1557134596.998478 |  56925 |    NORMAL | Sensor
     Receiving:    8 |         1557134598.423995 |  56907 |    NORMAL | Camera
     Receiving:   27 |        1557134601.2829063 |  56906 |    NORMAL | Guard
     Receiving:   27 |        1557134601.8435972 |  56925 |    NORMAL | Sensor
     Receiving:   99 |        1557134605.3439546 |  56907 |    NORMAL | Camera
     Receiving:   87 |        1557134605.4212284 |  56906 |    NORMAL | Guard
     Receiving:   88 |        1557134610.3052304 |  56906 |    NORMAL | Guard
     Receiving:   92 |        1557134610.7460852 |  56907 |    NORMAL | Camera
     Receiving:    9 |         1557134615.775958 |  56906 |    NORMAL | Guard
     Receiving:   70 |         1557134617.098019 |  56907 |    NORMAL | Camera
     Receiving:   96 |         1557134619.385151 |  56906 |    NORMAL | Guard
     Receiving:   62 |        1557134621.7337189 |  56907 |    NORMAL | Camera
     Receiving:   81 |        1557134624.0897906 |  56906 |    NORMAL | Guard
     Receiving:   92 |         1557134627.564402 |  56907 |    NORMAL | Camera
     Receiving:   25 |        1557134628.0192163 |  56906 |    NORMAL | Guard
     Receiving:   69 |        1557134631.5699215 |  56907 |    NORMAL | Camera
     Receiving:   60 |        1557134631.8439598 |  56925 |    NORMAL | Sensor
       Warning: Detecting suspicious physcial access attack!!!
     Receiving:   61 |        1557134634.7273185 |  56906 |    NORMAL | Guard
     Receiving:   78 |          1557134636.44628 |  56907 |    NORMAL | Camera
     Receiving:   88 |         1557134637.468511 |  56925 |    NORMAL | Sensor
     Receiving:   68 |         1557134639.642802 |  56925 |    NORMAL | Sensor
     Receiving:   11 |         1557134640.233558 |  56906 |    NORMAL | Guard
     Receiving:   69 |        1557134640.9266448 |  56907 |    NORMAL | Camera
     Receiving:   15 |         1557134642.157365 |  56906 |    NORMAL | Guard
     Receiving:   21 |        1557134644.6873262 |  56925 |    NORMAL | Sensor
     Receiving:   91 |         1557134647.139498 |  56925 |    NORMAL | Sensor
     Receiving:   69 |        1557134647.2631829 |  56907 |    NORMAL | Camera
     Receiving:   82 |        1557134647.9404328 |  56906 |    NORMAL | Guard
     Receiving:   18 |        1557134651.9112256 |  56925 |    NORMAL | Sensor
     Receiving:   39 |         1557134652.010765 |  56907 |    NORMAL | Camera
     Receiving:   76 |        1557134654.3474953 |  56906 |    NORMAL | Guard
     Receiving:   35 |        1557134657.9786975 |  56907 |    NORMAL | Camera
     Receiving:    3 |        1557134658.2281103 |  56925 |    NORMAL | Sensor
Connection to 127.0.0.1 : 56925 is closed

     Receiving:   41 |        1557134659.8321352 |  56906 |    NORMAL | Guard
     Receiving:   84 |         1557134661.534485 |  56907 |    NORMAL | Camera
Conneted with 127.0.0.1 : 56929
     Receiving:   36 |        1557134665.8233125 |  56906 |    NORMAL | Guard
     Receiving:   33 |        1557134666.0197544 |  56907 |    NORMAL | Camera
