Namespace(alive_time=300, middlebox_name='Middlebox device')
Middlebox device
Middlebox device socket is created
Middlebox device socket is succesfully initialized and ready.
Middlebox device is listening...

Conneted with 127.0.0.1 : 56980
Conneted with 127.0.0.1 : 56982
     Receiving:   69 |        1557135176.5868065 |  56984 |    NORMAL | Sensor
     Receiving:   99 |        1557135177.5662625 |  56980 |    NORMAL | Guard
     Receiving:    8 |         1557135177.584215 |  56986 |    NORMAL | Camera
     Receiving:   70 |        1557135177.7008622 |  56982 |    NORMAL | Smartwatch
     Receiving:   41 |        1557135181.5715723 |  56980 |    NORMAL | Guard
     Receiving:   54 |         1557135182.172178 |  56984 |    NORMAL | Sensor
     Receiving:    9 |        1557135182.4624186 |  56986 |    NORMAL | Camera
     Receiving:   47 |         1557135183.181571 |  56982 | SENSITIVE | Smartwatch
       Sending:   47 |         1557135183.181571 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   47 |         1557135183.181571 |  56982 | ENCRYPTED | Guard
     Receiving:   47 |        1557135185.8756256 |  56986 |    NORMAL | Camera
     Receiving:   17 |        1557135186.2076945 |  56980 |    NORMAL | Guard
     Receiving:   65 |        1557135187.4070332 |  56984 |    NORMAL | Sensor
     Receiving:   95 |         1557135188.782452 |  56982 |    NORMAL | Smartwatch
     Receiving:   51 |         1557135189.256101 |  56980 |    NORMAL | Guard
     Receiving:   82 |         1557135190.519701 |  56986 |    NORMAL | Camera
     Receiving:    1 |         1557135194.151372 |  56982 | SENSITIVE | Smartwatch
       Sending:    1 |         1557135194.151372 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   96 |         1557135194.410678 |  56984 |    NORMAL | Sensor
     Receiving:    1 |         1557135194.151372 |  56982 | ENCRYPTED | Guard
     Receiving:   58 |         1557135195.364058 |  56980 |    NORMAL | Guard
     Receiving:   14 |        1557135195.7550123 |  56986 |    NORMAL | Camera
     Receiving:   68 |        1557135198.5738673 |  56982 |    NORMAL | Smartwatch
     Receiving:   72 |        1557135198.7329516 |  56984 |    NORMAL | Sensor
     Receiving:   96 |        1557135199.7781975 |  56980 |    NORMAL | Guard
     Receiving:   62 |         1557135201.163499 |  56986 |    NORMAL | Camera
     Receiving:   17 |         1557135201.980958 |  56982 | SENSITIVE | Smartwatch
       Sending:   17 |         1557135201.980958 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   17 |         1557135201.980958 |  56982 | ENCRYPTED | Guard
     Receiving:   32 |        1557135203.8401754 |  56984 |    NORMAL | Sensor
     Receiving:   36 |        1557135204.8094294 |  56980 |    NORMAL | Guard
     Receiving:   30 |        1557135206.9231963 |  56986 |    NORMAL | Camera
     Receiving:   39 |        1557135206.9878254 |  56982 | SENSITIVE | Smartwatch
       Sending:   39 |        1557135206.9878254 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   39 |        1557135206.9878254 |  56982 | ENCRYPTED | Guard
     Receiving:   19 |         1557135210.034083 |  56980 |    NORMAL | Guard
     Receiving:   49 |        1557135210.7013998 |  56984 |    NORMAL | Sensor
     Receiving:    8 |        1557135212.8613591 |  56982 | SENSITIVE | Smartwatch
       Sending:    8 |        1557135212.8613591 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   98 |          1557135213.50245 |  56980 |    NORMAL | Guard
     Receiving:   52 |        1557135213.6113544 |  56986 |    NORMAL | Camera
     Receiving:    8 |        1557135212.8613591 |  56982 | ENCRYPTED | Guard
     Receiving:   75 |         1557135215.190942 |  56984 |    NORMAL | Sensor
     Receiving:   42 |        1557135218.4953384 |  56980 |    NORMAL | Guard
     Receiving:    6 |        1557135218.7075813 |  56986 |    NORMAL | Camera
     Receiving:   70 |         1557135218.906238 |  56984 |    NORMAL | Sensor
     Receiving:   39 |        1557135218.9311712 |  56982 |    NORMAL | Smartwatch
     Receiving:    2 |        1557135222.6735947 |  56986 |    NORMAL | Camera
     Receiving:   72 |        1557135224.3182766 |  56982 | SENSITIVE | Smartwatch
       Sending:   72 |        1557135224.3182766 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   71 |        1557135224.7332056 |  56980 |    NORMAL | Guard
     Receiving:   23 |         1557135224.799035 |  56984 |    NORMAL | Sensor
     Receiving:   72 |        1557135224.3182766 |  56982 | ENCRYPTED | Guard
     Receiving:   81 |        1557135226.4345512 |  56986 |    NORMAL | Camera
     Receiving:   57 |        1557135229.2789586 |  56986 |    NORMAL | Camera
     Receiving:   13 |        1557135229.7514484 |  56982 | SENSITIVE | Smartwatch
       Sending:   13 |        1557135229.7514484 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   34 |        1557135229.8272436 |  56984 |    NORMAL | Sensor
     Receiving:   31 |        1557135229.9461198 |  56980 |    NORMAL | Guard
     Receiving:   13 |        1557135229.7514484 |  56982 | ENCRYPTED | Guard
     Receiving:    9 |        1557135232.7337947 |  56982 | SENSITIVE | Smartwatch
       Sending:    9 |        1557135232.7337947 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:    9 |        1557135232.7337947 |  56982 | ENCRYPTED | Guard
     Receiving:   19 |         1557135234.660638 |  56980 |    NORMAL | Guard
     Receiving:   84 |        1557135235.1448493 |  56984 |    NORMAL | Sensor
     Receiving:   65 |        1557135235.8210344 |  56986 |    NORMAL | Camera
     Receiving:   65 |        1557135238.4389434 |  56982 |    NORMAL | Smartwatch
     Receiving:   71 |        1557135239.6004014 |  56984 |    NORMAL | Sensor
     Receiving:   55 |         1557135239.652249 |  56980 |    NORMAL | Guard
     Receiving:   10 |        1557135240.7597156 |  56986 |    NORMAL | Camera
     Receiving:    2 |        1557135243.0277104 |  56984 |    NORMAL | Sensor
     Receiving:   78 |         1557135243.641173 |  56980 |    NORMAL | Guard
     Receiving:   22 |        1557135245.2535644 |  56982 | SENSITIVE | Smartwatch
